record,member_index,epsilon,stride,frame_time,maximum_time,valid_interval_count,cutoff_contaminated_interval_count,trace_variance_ratio,mean_squared_mahalanobis,summed_mean_squared_mahalanobis,observed_predicted_energy_correlation,whitened_max_abs_component_excess_kurtosis,whitened_lag1_correlation,minimum_covariance_eigenvalue,valid_sample_count,fit_parameters_from_macro_observables,thermodynamic_claim_allowed,pair_support_crossing_interval_count,potential_protocol,full_horizon_required,reference_epsilon,covariance_cross_epsilon_relative_l2_error,covariance_cross_epsilon_correlation
covariance_member,1,0.001,2,0.002,0.2,100,0,0.7035259787538223,1.9809157535842017,1.583712476137223,0.6893687640819864,0.4637882685102701,0.12019769782477614,18.4797096791086,100.0,0.0,0.0,8,ka_lj_c3_switch,True,,,
covariance_member,1,0.002,2,0.002,0.2,100,0,0.7037284824015041,1.982130109897649,1.5844318294356767,0.6893605805717061,0.452235142271709,0.1192532181232001,18.508968273645742,100.0,0.0,0.0,17,ka_lj_c3_switch,True,,,
covariance_member,2,0.001,2,0.002,0.2,100,0,0.7227935748150315,2.5280334257486157,0.9482414255208109,0.4096914080551899,0.06364001810740971,0.2262446384766501,34.70475443416933,100.0,0.0,0.0,8,ka_lj_c3_switch,True,,,
covariance_member,2,0.002,2,0.002,0.2,100,0,0.7230976646173646,2.52845226369406,0.9454356495416913,0.40928697768938316,0.05689671441835875,0.22577299952187027,34.70287375913695,100.0,0.0,0.0,15,ka_lj_c3_switch,True,,,
covariance_member,3,0.001,2,0.002,0.2,100,0,0.733849160960453,2.5512012531777764,7.52517898438267,0.6410628667121638,0.47622034325157037,0.2498850095636295,32.63045707053604,100.0,0.0,0.0,16,ka_lj_c3_switch,True,,,
covariance_member,3,0.002,2,0.002,0.2,100,0,0.7335192940780473,2.548215536573657,7.527106920686723,0.6409528021167902,0.47752189103951315,0.2486475060433439,32.53506420340188,100.0,0.0,0.0,18,ka_lj_c3_switch,True,,,
covariance_member,4,0.001,2,0.002,0.2,100,0,0.7823537086698511,2.3543323734021104,3.4844842467855384,0.6071397311238088,0.46576389054401135,0.15035743790552633,114.17636147420949,100.0,0.0,0.0,11,ka_lj_c3_switch,True,,,
covariance_member,4,0.002,2,0.002,0.2,100,0,0.7822147882068028,2.3472671939446874,3.488587650552981,0.6077750118680616,0.47068917442132996,0.14974929537024995,114.09307447514179,100.0,0.0,0.0,16,ka_lj_c3_switch,True,,,
covariance_member,5,0.001,2,0.002,0.2,100,0,0.8739869074731326,2.2603989772238178,1.1324458942379514,0.4873951916964233,0.860547176151635,0.06229134862275293,169.79878243421274,100.0,0.0,0.0,11,ka_lj_c3_switch,True,,,
covariance_member,5,0.002,2,0.002,0.2,100,0,0.8754345642261349,2.2614543799184914,1.134795911833392,0.4876626652509013,0.857659041410491,0.06142181690195333,169.82707413109813,100.0,0.0,0.0,18,ka_lj_c3_switch,True,,,
covariance_member,6,0.001,2,0.002,0.2,100,0,0.9708669774610389,2.65075246888996,3.7168087037006736,0.5528894111534977,0.7745554758950508,0.14365486927415647,83.85601850310572,100.0,0.0,0.0,8,ka_lj_c3_switch,True,,,
covariance_member,6,0.002,2,0.002,0.2,100,0,0.9713156683497307,2.6518238628383437,3.716465161451548,0.552834415950603,0.7750481054661886,0.14190904000268395,83.8003162018732,100.0,0.0,0.0,9,ka_lj_c3_switch,True,,,
covariance_member,7,0.001,2,0.002,0.2,100,0,0.8200022154971512,2.419288128505443,5.565611819496447,0.6386587300410699,0.888087510595299,0.22215675024302683,8.76267234813471,100.0,0.0,0.0,6,ka_lj_c3_switch,True,,,
covariance_member,7,0.002,2,0.002,0.2,100,0,0.8191617583453945,2.416374474334147,5.561850352042407,0.6391331582357477,0.8735919910877472,0.22202423485358297,8.759729334716107,100.0,0.0,0.0,15,ka_lj_c3_switch,True,,,
covariance_member,8,0.001,2,0.002,0.2,100,0,0.8998693962544966,2.2063081079634346,7.969524702703213,0.629698432226553,0.5657938312761863,0.1474404982658322,58.21926266846463,100.0,0.0,0.0,13,ka_lj_c3_switch,True,,,
covariance_member,8,0.002,2,0.002,0.2,100,0,0.9001748855936506,2.203691574752961,7.946910642610035,0.6293260479282585,0.5726842168773376,0.14735137460342748,58.21914763372154,100.0,0.0,0.0,15,ka_lj_c3_switch,True,,,
covariance_aggregate,,0.001,2,0.002,0.2,800,0,0.8091117261122632,2.3689038110619203,2.779698508215548,0.5875090727220349,0.39478416831511165,0.17203897488163247,8.76267234813471,800.0,0.0,0.0,81,ka_lj_c3_switch,True,,,
covariance_aggregate,,0.002,2,0.002,0.2,800,0,0.809336344503798,2.3674261744942493,2.7757024181479975,0.587389916847987,0.39486920848275764,0.17123464561463342,8.759729334716107,800.0,0.0,0.0,123,ka_lj_c3_switch,True,,,
covariance_cross_epsilon,1,0.002,2,0.002,0.2,100,,,,,,,,,,0.0,0.0,,ka_lj_c3_switch,True,0.001,0.00015347530302484708,0.9999999877782297
covariance_cross_epsilon,2,0.002,2,0.002,0.2,100,,,,,,,,,,0.0,0.0,,ka_lj_c3_switch,True,0.001,0.0001775254917107224,0.9999999851535385
covariance_cross_epsilon,3,0.002,2,0.002,0.2,100,,,,,,,,,,0.0,0.0,,ka_lj_c3_switch,True,0.001,0.00014852851581283476,0.9999999904325928
covariance_cross_epsilon,4,0.002,2,0.002,0.2,100,,,,,,,,,,0.0,0.0,,ka_lj_c3_switch,True,0.001,0.00029493832698152737,0.9999999509475798
covariance_cross_epsilon,5,0.002,2,0.002,0.2,100,,,,,,,,,,0.0,0.0,,ka_lj_c3_switch,True,0.001,0.00020678847194436462,0.9999999803431258
covariance_cross_epsilon,6,0.002,2,0.002,0.2,100,,,,,,,,,,0.0,0.0,,ka_lj_c3_switch,True,0.001,0.00019988758067541028,0.9999999853387186
covariance_cross_epsilon,7,0.002,2,0.002,0.2,100,,,,,,,,,,0.0,0.0,,ka_lj_c3_switch,True,0.001,0.00018118158134732015,0.9999999914488898
covariance_cross_epsilon,8,0.002,2,0.002,0.2,100,,,,,,,,,,0.0,0.0,,ka_lj_c3_switch,True,0.001,0.0001413238510176317,0.9999999900640689
