temperature,replicate,lag,heldout_msd,heldout_ngp,jump_msd,jump_component_fourth_moment,predicted_count_mean,predicted_count_variance,count_fano_factor,inferred_mean_event_count,inferred_cage_variance,supported,heldout_msd_used_as_diagnostic_input,heldout_ngp_used_as_diagnostic_input,calibration_count_overdispersion_only,observed_fs_k2,predicted_fs_k2,fs_k2_absolute_error,observed_fs_k4,predicted_fs_k4,fs_k4_absolute_error,observed_fs_k7p25,predicted_fs_k7p25,fs_k7p25_absolute_error,blind_prediction_claim_allowed,finite_exchange_resolved,static_environment_resolved,spatial_facilitation_resolved,activated_cage_geometry_resolved,transient_potential_identified_in_ka,microdynamic_closure_claim_allowed,thermodynamic_claim_allowed
0.45,1.0,20.0,0.03943903427,0.6894572448,0.06685790297,0.003432263193,0.10001026968887317,0.13510284775819395,1.3508897454080666,0.09038214515619282,0.005566045596487801,1.0,1.0,1.0,1.0,0.9742726066,0.9742684667405482,4.13985945180162e-06,0.9031194882,0.9029171325831488,0.00020235561685122416,0.7273620753,0.7239583590464053,0.003403716253594702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45,1.0,100.0,0.05706767167,1.629733934,0.06685790297,0.003432263193,0.5000513484443658,1.156791031020882,2.3133444887602037,0.3282891334168533,0.005853158106985106,1.0,1.0,1.0,1.0,0.9637263303,0.9637155289445547,1.080135544528904e-05,0.8712844741,0.8709800576982786,0.00030441640172140794,0.6701586799,0.6676962867359695,0.0024623931640305186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45,1.0,200.0,0.07543971565,2.052809675,0.06685790297,0.003432263193,1.0001026968887317,3.150574185943224,3.1502506650012037,0.5868311654469286,0.00603423575512954,1.0,1.0,1.0,1.0,0.9531991465,0.953181221004347,1.792549565304835e-05,0.842453604,0.8419016842029993,0.000551919797000755,0.6251232913,0.6232106449916706,0.0019126463083294354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45,1.0,500.0,0.1272688962,2.240207131,0.06685790297,0.003432263193,2.5002567422218296,12.159494958165492,4.863298537637408,1.3163289574174302,0.006543650414730702,1.0,1.0,1.0,1.0,0.9252086699,0.9250906343133939,0.00011803558660605784,0.7741688168,0.7717935174677923,0.002375299332207703,0.5333952818,0.5274676366570795,0.005927645142920435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45,1.0,1000.0,0.2137164843,2.035011318,0.06685790297,0.003432263193,5.00051348444366,33.19936781629646,6.6391917389240085,2.6179859276184763,0.006447239195743082,1.0,1.0,1.0,1.0,0.8825336716,0.8822119686814538,0.00032170291854616284,0.6840225543,0.6802316339697829,0.003790920330217107,0.4319674514,0.426749620344031,0.005217831055968958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45,1.0,2000.0,0.3849408778,1.532081397,0.06685790297,0.003432263193,10.001026968887306,84.12459236475398,8.4115953917994,5.227757191450273,0.0059039991238829985,1.0,1.0,1.0,1.0,0.8061233874,0.8054334738933577,0.0006899135066422701,0.5436221108,0.5392726869177643,0.004349423882235692,0.2975422299,0.2941155992943497,0.0034266306056502938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45,1.0,3000.0,0.5507382501,1.330172432,0.06685790297,0.003432263193,15.001540453330943,138.18088519226995,9.211113060164982,8.584160875051685,-0.0038634574605126426,0.0,1.0,1.0,1.0,0.7425593344,nan,nan,0.4489718027,nan,nan,0.2222160278,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45,2.0,20.0,0.03815202448,0.6641054641,0.06696280253,0.003486576869,0.10049965596231022,0.13618000248550524,1.3550295389725115,0.08020922337388592,0.005463498349021635,1.0,1.0,1.0,1.0,0.9750852842,0.9750820479988956,3.2362011043174377e-06,0.9059230563,0.9057177033752106,0.0002053529247894037,0.733577058,0.7303261879000363,0.0032508700999636098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45,2.0,100.0,0.05277527809,1.616379584,0.06696280253,0.003486576869,0.5024982798115512,1.1672537869046642,2.322901060163653,0.27465149931090616,0.005730640662845894,1.0,1.0,1.0,1.0,0.966315818,0.9663139181298007,1.8998701992734013e-06,0.8792594732,0.8790271676158228,0.00023230558417719482,0.6847219018,0.6825901494838665,0.002131752316133495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45,2.0,200.0,0.06724485326,2.105302692,0.06696280253,0.003486576869,1.0049965596231023,3.171093785186189,3.155328000700246,0.4730562374962481,0.005927946973825659,1.0,1.0,1.0,1.0,0.9579937366,0.9579805055809836,1.3231019016402001e-05,0.8562828585,0.8557201370853654,0.0005627214146345372,0.6480499865,0.64576295816794,0.0022870283320599594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45,2.0,500.0,0.1073797565,2.365462548,0.06696280253,0.003486576869,2.5124913990577555,12.11724821639022,4.8228018694648975,0.9881715134833602,0.006868170429473752,1.0,1.0,1.0,1.0,0.9359506295,0.9358056127913745,0.00014501670862543392,0.8005729633,0.7976045381313049,0.00296842516869511,0.5679871985,0.5575290222324717,0.010458176267528319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45,2.0,1000.0,0.1713151271,2.18784357,0.06696280253,0.003486576869,5.024982798115514,32.61368414660858,6.490307620324486,1.8304942790589287,0.008123350026513704,1.0,1.0,1.0,1.0,0.9031995586,0.9027173450962453,0.0004822135037546582,0.7283672042,0.7197722690606854,0.008594935139314641,0.4797847508,0.4538846535409508,0.025900097259049182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45,2.0,2000.0,0.3041745134,1.728526299,0.06696280253,0.003486576869,10.049965596231031,81.18209472914958,8.077848023638483,3.7900145178471476,0.008397419942594714,1.0,1.0,1.0,1.0,0.8413429351,0.8400671272293682,0.001275807870631862,0.6109579894,0.5950459276736415,0.015912061726358506,0.360040654,0.3268554222454327,0.033185231754567335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45,2.0,3000.0,0.4306189425,1.412565612,0.06696280253,0.003486576869,15.074948394346547,132.14378579122487,8.7657869423143,5.784590760823654,0.007211088944350519,1.0,1.0,1.0,1.0,0.7881757849,0.7857729292423791,0.0024028556576208837,0.5238939684,0.5031769137373581,0.020717054662641954,0.2872695469,0.2539071210273771,0.03336242587262289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45,3.0,20.0,0.04088453535,0.6717795454,0.06532154656,0.003362388281,0.09855770859878532,0.1335475921883167,1.3550192479816094,0.09678590621952729,0.00576038837842156,1.0,1.0,1.0,1.0,0.9733464399,0.9733396682674574,6.771632542590389e-06,0.8998300406,0.8995487110723119,0.00028132952768811226,0.7196253348,0.7154166966236019,0.004208638176398161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45,3.0,100.0,0.06145764487,1.529098277,0.06532154656,0.003362388281,0.49278854299392666,1.1390562079074698,2.3114502642191255,0.36826304887538513,0.0062336888294264965,1.0,1.0,1.0,1.0,0.9610112316,0.9609895560260961,2.167557390386765e-05,0.8622712168,0.8618607500911181,0.00041046670888189585,0.6509038937,0.6477431594623009,0.0031607342376991365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45,3.0,200.0,0.08291711479,1.86151522,0.06532154656,0.003362388281,0.9855770859878532,3.1053666626299417,3.1508105320015667,0.6643515276572982,0.00658677425732111,1.0,1.0,1.0,1.0,0.948712066,0.9486522304590365,5.983554096355981e-05,0.8285185258,0.8275406226976387,0.0009779031023612328,0.5978656138,0.5943094713162194,0.0035561424837806666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45,3.0,500.0,0.1442378852,1.88756167,0.06532154656,0.003362388281,2.463942714969633,11.957305254050999,4.852915281432737,1.4803644816740584,0.007923031297426287,1.0,1.0,1.0,1.0,0.9154651401,0.9152172596164084,0.0002478804835915893,0.7464957972,0.7427366534404406,0.0037591437595594357,0.4861965894,0.4743504001956436,0.011846189204356372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45,3.0,1000.0,0.2440330958,1.549901664,0.06532154656,0.003362388281,4.927885429939269,31.901871127162835,6.473744485483298,2.759910204774996,0.010625248809561824,1.0,1.0,1.0,1.0,0.8653976752,0.8645415511900272,0.000856124009972814,0.6394261791,0.6282680795242014,0.011158099575798608,0.3638800632,0.3328577918681391,0.031022271331860918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45,3.0,2000.0,0.452360035,1.073065314,0.06532154656,0.003362388281,9.855770859878522,77.6978190451293,7.883484726844285,5.564880510738076,0.014808905602831027,1.0,1.0,1.0,1.0,0.7710587369,0.7694551289618173,0.001603607938182705,0.4716494659,0.45073210532369945,0.02091736057630056,0.2108549382,0.16976647882260718,0.04108845937739283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45,3.0,3000.0,0.6472318284,0.8235015743,0.06532154656,0.003362388281,14.783656289817813,124.9412715975175,8.451310633051603,8.236924738443651,0.018197194264422883,1.0,1.0,1.0,1.0,0.6922019468,0.6906010371879613,0.0016009096120387367,0.3580006787,0.3323875772316142,0.0256131014683858,0.1294193664,0.0925807617716739,0.03683860462832611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.58,1.0,20.0,0.166608416,0.5385549106,0.3326365126,0.04811133661,0.2925684690211053,0.3213590081431769,1.0984061584572011,0.09630959937704466,0.02242872112221946,1.0,1.0,1.0,1.0,0.8977103425,0.8974932624163936,0.00021708008360643571,0.6706091522,0.6636216024192995,0.006987549780700486,0.3302563515,0.283613494100372,0.04664285739962798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.58,1.0,100.0,0.6244853325,0.2825033492,0.3326365126,0.04811133661,1.4628423451055266,1.9083626944046275,1.3045580070810445,0.6188265036811005,0.06977350706851128,1.0,1.0,1.0,1.0,0.6748742077,0.6734906826551015,0.0013835250448984704,0.2577057893,0.23961614564930378,0.018089643650696208,0.03757140173,0.015769575564949612,0.02180182616505039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.58,1.0,200.0,1.1970958,0.1700313779,0.3326365126,0.04811133661,2.925684690211053,4.134369177466629,1.4131287596710855,1.282121919025726,0.12843587268787715,1.0,1.0,1.0,1.0,0.4733264732,0.4713798926059151,0.001946580594084868,0.0764199928,0.06816655902439299,0.008253433775607014,0.003537489663,0.00044708792736295356,0.0030904017356370465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.58,1.0,400.0,2.302522123,0.08241548507,0.3326365126,0.04811133661,5.851369380422106,8.720812988202482,1.4903883896615975,2.2001395875376235,0.2617792272280471,1.0,1.0,1.0,1.0,0.2367746362,0.2338004274320819,0.002974208767918096,0.00500707551,0.005236170076489006,0.00022909456648900588,-0.001589387093,2.1161881457608338e-07,0.001589598711814576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.58,1.0,600.0,3.5092387,0.0488024811,0.3326365126,0.04811133661,8.77705407063316,13.34527213863808,1.520472818242007,2.9763389005723497,0.4198666179663159,1.0,1.0,1.0,1.0,0.1097146614,0.10780227483157538,0.001912386568424615,0.003664696472,0.0002895360586789235,0.0033751604133210765,-0.002099056579,3.0161779633877423e-11,0.00209905660916178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.58,2.0,20.0,0.1689377576,0.5268513866,0.3260657778,0.04462576006,0.2925407376418617,0.3210666649428907,1.0975109570413109,0.10424187244385037,0.022491341730377923,1.0,1.0,1.0,1.0,0.8963572501,0.8961495790765033,0.00020767102349672495,0.6669561226,0.6603560576960452,0.0066000649039548165,0.3258010832,0.2807611719801455,0.04503991121985451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.58,2.0,100.0,0.6429152368,0.2515771496,0.3260657778,0.04462576006,1.4627036882093085,1.894618217467213,1.2952850483249063,0.6291877262046922,0.07295977524547559,1.0,1.0,1.0,1.0,0.6661168892,0.6646541814480799,0.0014627077519201448,0.2452543963,0.22672756921322285,0.018526827086777164,0.03400429515,0.013202380992421504,0.020801914157578497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.58,2.0,200.0,1.239448947,0.1300464732,0.3260657778,0.04462576006,2.925407376418616,4.080928739026174,1.3949950259653021,1.135945251213979,0.1448426791874496,1.0,1.0,1.0,1.0,0.4582518725,0.4547159405782383,0.0035359319217617147,0.0696389834,0.05636405963717458,0.013274923762825429,0.001363290919,0.0002093333840692431,0.001153957534930757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.58,2.0,400.0,2.446386945,0.06244093818,0.3260657778,0.04462576006,5.850814752837234,8.552625545004808,1.4617836842052443,2.042355151334674,0.29674080400603714,1.0,1.0,1.0,1.0,0.213495863,0.21013963069051433,0.003356232309485674,-0.0008022615567,0.003225290442199414,0.004027551998899414,0.0005040949482,3.722555626083532e-08,0.0005040577226437391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.58,2.0,600.0,3.687875142,0.05260664914,0.3260657778,0.04462576006,8.77622212925585,13.034101007259537,1.4851607918867387,3.8578474951224466,0.404993849644853,1.0,1.0,1.0,1.0,0.09566220282,0.09796729060007925,0.0023050877800792485,-0.003364692749,0.00023923643577409355,0.0036039291847740932,0.004720807731,3.362549419344743e-11,0.004720807697374506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.58,3.0,20.0,0.1709297026,0.5122257579,0.3335309071,0.04659121235,0.2957582857049302,0.323675624126665,1.0943924135724372,0.09958921182169247,0.022952270407289477,1.0,1.0,1.0,1.0,0.8951448082,0.8949358736993867,0.00020893450061332253,0.6632518336,0.6565371300975839,0.006714703502416097,0.3201497833,0.2749566569613511,0.045193126338648915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.58,3.0,100.0,0.6490628752,0.2343711602,0.3335309071,0.04659121235,1.4787914285246508,1.844465328200628,1.247278887760933,0.5902410451689619,0.07536654066619067,1.0,1.0,1.0,1.0,0.6619462153,0.6612713653664863,0.0006748499335136326,0.236533644,0.22068746781087709,0.0158461761891229,0.03010697649,0.011864847985602367,0.01824212850439763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.58,3.0,200.0,1.237922543,0.1321734468,0.3335309071,0.04659121235,2.9575828570493017,3.867737155241171,1.3077358580242466,1.1640303394204727,0.14161374133352814,1.0,1.0,1.0,1.0,0.4559535285,0.4555095704336272,0.0004439580663727627,0.06618843322,0.057339868296470094,0.008848564923529902,0.002712052388,0.00023514754976622856,0.0024769048382337717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.58,3.0,400.0,2.399539017,0.08466089026,0.3335309071,0.04659121235,5.915165714098601,7.943407141074026,1.342888352585149,2.739805584560182,0.24762152918399946,1.0,1.0,1.0,1.0,0.2209161291,0.22171709968753525,0.0008009705875352546,0.006469244519,0.004768021821952368,0.001701222697047632,0.001025920145,2.673529007018489e-07,0.001025652792099298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.58,3.0,600.0,3.495641524,0.04958589059,0.3335309071,0.04659121235,8.872748571147904,12.020356868105907,1.3547500835528334,3.3805246122425845,0.39468868060080914,1.0,1.0,1.0,1.0,0.1077893142,0.10920097229965844,0.0014116580996584444,0.002841905866,0.00032957326071387144,0.0025123326052861284,0.0006545515779,7.234793126111735e-11,0.0006545515055520687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.58,4.0,20.0,0.1625653227,0.555599068,0.323865617,0.04514141978,0.2899195191767822,0.31937399238135183,1.1015953437292,0.10051366789736065,0.021668733604914697,1.0,1.0,1.0,1.0,0.9001075442,0.8998833783933059,0.0002241658066941543,0.6774505578,0.6707920612213772,0.006658496578622719,0.3392101017,0.29428421793024695,0.04492588376975304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.58,4.0,100.0,0.6061875301,0.3029036268,0.323865617,0.04514141978,1.449597595883911,1.869250531250029,1.2894961584909563,0.6713704524156346,0.06479228738214023,1.0,1.0,1.0,1.0,0.6829333147,0.6820197581173096,0.0009135565826903225,0.2707881819,0.25359050382939263,0.017197678070607347,0.04724884334,0.019659322389336664,0.027589520950663336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.58,4.0,200.0,1.182206389,0.1978866485,0.323865617,0.04514141978,2.899195191767822,3.9860164392159767,1.3748699813431504,1.5827083381346947,0.1116035960898271,1.0,1.0,1.0,1.0,0.479828903,0.47931494702125726,0.0005139559787427084,0.08817574106,0.0772595405279825,0.0109162005320175,0.002464299596,0.0008555775276842825,0.0016087220683157174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.58,4.0,400.0,2.361779625,0.1255594628,0.323865617,0.04514141978,5.798390383535644,8.281698693000465,1.4282754601201224,3.8834936475538546,0.18400825978656507,1.0,1.0,1.0,1.0,0.2367046518,0.23651287917120578,0.00019177262879421786,0.01036455717,0.008046339500196962,0.0023182176698030386,0.0004242822673,3.5182579674943068e-06,0.0004207640093325057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.58,4.0,600.0,3.553821214,0.07065457221,0.323865617,0.04514141978,8.697585575303467,12.581742111296222,1.4465787088110638,4.895839001925465,0.3280378824847909,1.0,1.0,1.0,1.0,0.1152306255,0.11075900795706817,0.0044716175429318356,0.006394974288,0.0004969946666607987,0.005897979621339202,0.001565928914,8.737852376626933e-10,0.0015659280402147624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.58,5.0,20.0,0.1631941386,0.5392127581,0.3227297815,0.04386051275,0.30489391252367476,0.3293288181069258,1.08014232026149,0.1026271816950268,0.021678881779267203,1.0,1.0,1.0,1.0,0.8996730891,0.899470854712104,0.00020223438789601644,0.6760951456,0.6696329903311122,0.006462155268887715,0.3389222006,0.293392872242693,0.045529328357307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.58,5.0,100.0,0.6160653824,0.2916386301,0.3227297815,0.04386051275,1.5244695626183733,1.876352532206321,1.230823217607288,0.7112550887250781,0.06442036383749873,1.0,1.0,1.0,1.0,0.6788948376,0.6776409929280672,0.0012538446719327911,0.2648503728,0.24855016497997195,0.016300207820028056,0.04062371141,0.01920308480922172,0.02142062660077828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.58,5.0,200.0,1.200607838,0.1929264564,0.3227297815,0.04386051275,3.0489391252367475,3.9653398298459024,1.3005637918526816,1.707295683662366,0.1082687791759586,1.0,1.0,1.0,1.0,0.4751171482,0.47395917615947036,0.0011579720405296423,0.08306004158,0.07537294275507869,0.007687098824921301,0.00462001383,0.0008969345235968116,0.0037230793064031886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.58,5.0,400.0,2.35947766,0.1261279132,0.3227297815,0.04386051275,6.097878250473493,8.199829456617913,1.3447020618985308,4.192471408145777,0.16774037975068604,1.0,1.0,1.0,1.0,0.2349348748,0.23742691759018789,0.002492042790187887,0.0056397911,0.008592859835116347,0.002953068735116347,-0.001384411724,6.013444843809891e-06,0.0013904251688438098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.58,5.0,600.0,3.496961927,0.1029919015,0.3227297815,0.04386051275,9.146817375710242,12.438564777285237,1.359878990294085,7.449588928620908,0.18212628663355926,1.0,1.0,1.0,1.0,0.1212346132,0.12375911112270171,0.002524497922701721,-0.001409288985,0.0013816450344844352,0.002790934019484435,0.008498017816,2.4129157247372223e-07,0.008497776524427526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
